,Factor Score,Factor Score,Squared cosines,Squared cosines,Contributions x 1000,Contributions x 1000,SUFFIX
,1,2,1,2,1,2,
,,,,,,,
alberta_oi,1.0558614917477558,-0.34316436764260844,,,,,
web_archiv,-0.06818045416199997,0.3972151409676892,,,,,
health_sci,0.028692587270775363,0.4236485122753965,,,,,
prarie_pro,-0.13788682421504228,-0.1739087289725975,,,,,
canadian_b,1.1115271052963636,-0.5341362913828376,,,,,
hcf_albert,0.3925653572625192,0.3173126332762573,,,,,
lfrancopho,-0.31002985334706207,-0.2664262063225852,,,,,
energy_env,0.9110118639899095,-0.25989021846596666,,,,,
ottawa_sho,0.256949486120561,0.6425811787564348,,,,,
alberta_ed,0.3854756985893996,0.29907202465932764,,,,,
